URL,Type Name,Description,Annotator Name,File Path,Start Line (Before),End Line (Before),Start Line (After),End Line (After),Index
https://github.com/rstudio/rstudio/commit/cb49e436b9d7ee55f2531ebc2ef1863f5c9ba9fe,Non-Refactoring,,Mont9165,,,,,,[]
https://github.com/C2SP/wycheproof/commit/ca5fdffb1ab659adbe474ff45b47cad6ed4aec11,Non-Refactoring,,niyaton,,,,,,[130]
https://github.com/agrestio/agrest/commit/48be2e3a3be51123a67aa8b39ad656a301fa7f1f,Any Refactoring,"これDiffがぐちゃぐちゃ過ぎて（タブをスペースに変えてるのが原因）分割がそもそもまともにできない．Afterの23行目のsetUp関数はImplicit Setupに該当するような気がするが．Before部分がないのでリファクタリングかどうか自信がない．
後は，class Xやclass Yの作成がMock Objectまたはライブラリの適用の逆のリファクタリング（ライブラリの非適用）リファクタリングに該当すると思います．",niyaton,,,,,,[265]
https://github.com/liferay/liferay-blade-cli/commit/36f1e3b1f75dfae3e3d5a7554872d2a8fa5e32b6,Non-Refactoring,もともとあったのを再利用できるように修正？,Yutaro-Kashiwa,,,,,,[60]
https://github.com/liferay/liferay-blade-cli/commit/36f1e3b1f75dfae3e3d5a7554872d2a8fa5e32b6,Any Refactoring,Delegated Setup(Creation method)とfinder methodの統合？，他にもさまざまありそう,Mont9165,cli/src/test/java/com/liferay/blade/cli/command/ServerStartCommandTest.java,160.0,176.0,163.0,164.0,[60]
https://github.com/jdbi/jdbi/commit/ddfe1c0e7b00de18deae1731144df01b13597ffd,Any Refactoring,Spring4に変更？,Yutaro-Kashiwa,,,,,,[61]
https://github.com/jdbi/jdbi/commit/ddfe1c0e7b00de18deae1731144df01b13597ffd,Any Refactoring,spring4のバージョンアップによる変更,Mont9165,,,,,,[61]
https://github.com/camunda/camunda/commit/bcac3afd956efe5e425fd87b4ae63cd64ea4d0b7,Non-Refactoring,,Yutaro-Kashiwa,,,,,,[]
https://github.com/camunda/camunda/commit/bcac3afd956efe5e425fd87b4ae63cd64ea4d0b7,Non-Refactoring,Move Methodなので無視？テストケースをシンプルにしている,Mont9165,,,,,,[]
https://github.com/dreamhead/moco/commit/15285f6465b0aad791fc28dde9e6f3614cbd8818,Any Refactoring,ExtractMethodをやめるのは何かのテストリファクタリングか？,Yutaro-Kashiwa,,,,,,[80]
https://github.com/dreamhead/moco/commit/15285f6465b0aad791fc28dde9e6f3614cbd8818,Delegated Setup,,Mont9165,,,,330.0,334.0,[80]
https://github.com/dreamhead/moco/commit/15285f6465b0aad791fc28dde9e6f3614cbd8818,Non-Refactoring,Custom Assertionを消している．,Mont9165,,,,,,[80]
https://github.com/hapifhir/hapi-hl7v2/commit/42db129f4354c441ab257ebdb142f1ab0a382497,Any Refactoring,"作業すると何故か重すぎる・・・MessageTypeRouterTest.javaは単にJUnitのバージョンを上げているだけ．
MCFとVCはShared Fixtureとして抽出されている．

buildSpecsを使ってる部分はParameterized Test",niyaton,,,,,,[266]
https://github.com/DataDog/java-dogstatsd-client/commit/dd154c51cec1bba55e2e051cb7e65999e9925b58,Non-Refactoring,,Yutaro-Kashiwa,,,,,,[]
https://github.com/DataDog/java-dogstatsd-client/commit/dd154c51cec1bba55e2e051cb7e65999e9925b58,Delegated Setup,クラスを作って，その中に処理ごとのメソッドを作成,Mont9165,src/test/java/com/timgroup/statsd/StatsDClientTest.java,25.0,43.0,,,[]
https://github.com/confluence-publisher/confluence-publisher/commit/5a17d36af1459cae18bc582acd86711a782a7799,Non-Refactoring,,Yutaro-Kashiwa,,,,,,[64]
https://github.com/confluence-publisher/confluence-publisher/commit/5a17d36af1459cae18bc582acd86711a782a7799,Non-Refactoring,Rename Methodぐらい,Mont9165,,,,,,[64]
https://github.com/apache/parquet-java/commit/051725362f48c5b6490a15ae5241967a81b523f9,Non-Refactoring,General Refactoring,Yutaro-Kashiwa,,,,,,[65]
https://github.com/apache/parquet-java/commit/051725362f48c5b6490a15ae5241967a81b523f9,Non-Refactoring,Rename Method,Mont9165,,,,,,[65]
https://github.com/jboss-modules/jboss-modules/commit/25bfcd2c6cbe67d2dc52485b3a3e3569bda93bb0,Non-Refactoring,,Yutaro-Kashiwa,,,,,,[66]
https://github.com/jboss-modules/jboss-modules/commit/25bfcd2c6cbe67d2dc52485b3a3e3569bda93bb0,Non-Refactoring,引数を変えていて，非推奨のメソッドを使わないようにしているらしいが，その本体がないのでスキップ,Mont9165,,,,,,[66]
https://github.com/tronprotocol/java-tron/commit/781a5b03324a4c9845fdbfa1d176b3e57da304b5,Non-Refactoring,,Yutaro-Kashiwa,,,,,,[67]
https://github.com/tronprotocol/java-tron/commit/781a5b03324a4c9845fdbfa1d176b3e57da304b5,Non-Refactoring,コメントアウト外したのと，空白の整理,Mont9165,,,,,,[67]
