Index,Commit URL,Type Name,Description,Memo,Agreement,Annotator Name,Path,Start Line (Before),End Line (Before),Start Line (After),End Line (After)
199,https://github.com/remkop/picocli/commit/47cf9235a60ceddc8e583a4fd25b64aaae0d70ab,Non-Refactoring,,,,Mont9165,,,,,
185,https://github.com/Tencent/TencentKona-11/commit/832d68597ec6af94bc870a22410d1be95eb2bfa5,Non-Refactoring,,,,Mont9165,,,,,
187,https://github.com/Taskana/taskana/commit/897b469aeb6f9d9dd17e2a2069ce574c10e5e4cb,Assertion Message,,,,Mont9165,lib/taskana-core-test/src/test/java/acceptance/ArchitectureTest.java,558,559,558,559
187,https://github.com/Taskana/taskana/commit/897b469aeb6f9d9dd17e2a2069ce574c10e5e4cb,Assertion Message,,,,Mont9165,lib/taskana-core-test/src/test/java/acceptance/ArchitectureTest.java,560,561,560,561
188,https://github.com/ftsrg/theta/commit/fc1309976273343ab3ce4ec85e6b08f543c4fdd8,Non-Refactoring,,,,Mont9165,,,,,
186,https://github.com/Alluxio/alluxio/commit/3f6b9431056c4bcdb8923670b102968fc6ce6950,Rename Variable,,,,Mont9165,,,,,
186,https://github.com/Alluxio/alluxio/commit/3f6b9431056c4bcdb8923670b102968fc6ce6950,Rename Variable,,,,Mont9165,,,,,
186,https://github.com/Alluxio/alluxio/commit/3f6b9431056c4bcdb8923670b102968fc6ce6950,Non-Refactoring,,,,Mont9165,,,,,
189,https://github.com/cloudfoundry/cf-java-client/commit/4f0f4842e13d22c9e6633f269f2775b1663b5be5,Non-Refactoring,,,,Mont9165,,,,,
196,https://github.com/alexprut/design-patterns-java/commit/1f6fe9680270f0732caa4e7137d8ca712f8ca547,Non-Refactoring,,,,Mont9165,,,,,
191,https://github.com/groovy/groovy-core/commit/822950cdda7a698767001ad37583207e6d72d97a,Non-Refactoring,,,,Mont9165,,,,,
200,https://github.com/ome/openmicroscopy/commit/fe2eeac13d0aba1207557598f1b856075fd44d88,Non-Refactoring,,,,Mont9165,,,,,
195,https://github.com/b3dgs/lionengine/commit/39b8cdacfae5b600e6110149ef69ba2d6a48ac14,Non-Refactoring,,,,Mont9165,,,,,
204,https://github.com/cloudfoundry/cf-java-client/commit/3381969c6a46d0624501b11216c63774f1a32301,Non-Refactoring,,,,Mont9165,,,,,
205,https://github.com/bootique/bootique/commit/798af649d2f09983ce73d06b74f09b67ed1b8ef1,Creation Method,,,,Mont9165,src/test/java/com/nhl/bootique/config/YamlConfigurationFactoryTest.java,61,71,39,50
205,https://github.com/bootique/bootique/commit/798af649d2f09983ce73d06b74f09b67ed1b8ef1,Creation Method,,,,Mont9165,src/test/java/com/nhl/bootique/config/YamlConfigurationFactoryTest.java,80,91,63,64
205,https://github.com/bootique/bootique/commit/798af649d2f09983ce73d06b74f09b67ed1b8ef1,Creation Method,,,,Mont9165,src/test/java/com/nhl/bootique/config/YamlConfigurationFactoryTest.java,100,110,72,73
205,https://github.com/bootique/bootique/commit/798af649d2f09983ce73d06b74f09b67ed1b8ef1,Creation Method,,,,Mont9165,src/test/java/com/nhl/bootique/config/YamlConfigurationFactoryTest.java,118,129,81,82
205,https://github.com/bootique/bootique/commit/798af649d2f09983ce73d06b74f09b67ed1b8ef1,Creation Method,,,,Mont9165,src/test/java/com/nhl/bootique/config/YamlConfigurationFactoryTest.java,147,157,89,90
205,https://github.com/bootique/bootique/commit/798af649d2f09983ce73d06b74f09b67ed1b8ef1,Creation Method,,,,Mont9165,src/test/java/com/nhl/bootique/config/YamlConfigurationFactoryTest.java,175,185,107,108
205,https://github.com/bootique/bootique/commit/798af649d2f09983ce73d06b74f09b67ed1b8ef1,Creation Method,,,,Mont9165,src/test/java/com/nhl/bootique/config/YamlConfigurationFactoryTest.java,194,205,125,126
205,https://github.com/bootique/bootique/commit/798af649d2f09983ce73d06b74f09b67ed1b8ef1,Creation Method,,,,Mont9165,src/test/java/com/nhl/bootique/config/YamlConfigurationFactoryTest.java,215,226,134,135
205,https://github.com/bootique/bootique/commit/798af649d2f09983ce73d06b74f09b67ed1b8ef1,Creation Method,,,,Mont9165,src/test/java/com/nhl/bootique/config/YamlConfigurationFactoryTest.java,244,256,145,146
205,https://github.com/bootique/bootique/commit/798af649d2f09983ce73d06b74f09b67ed1b8ef1,Creation Method,,,,Mont9165,src/test/java/com/nhl/bootique/config/YamlConfigurationFactoryTest.java,265,276,163,164
207,https://github.com/AICP/frameworks_base/commit/143124ba0da86deb57596efab0d2ad6224ce8538,Non-Refactoring,,,,Mont9165,,,,,
209,https://github.com/GraphWalker/graphwalker-project/commit/d50578e3decfe8e9b5d5318e3b5db838e58b7878,Non-Refactoring,,,,Mont9165,,,,,
234,https://github.com/jboss-modules/jboss-modules/commit/77f22f5e4412e849f6df567b61e533ea5a973021,Non-Refactoring,,,,Mont9165,,,,,
213,https://github.com/ibi-group/datatools-server/commit/e4beec0b0a68e6a40d556a66c51c638d727ed90f,Non-Refactoring,,,,Mont9165,,,,,
N/A,https://github.com/camunda/camunda/commit/2d2159118c4c85d0a5f0ad951558d2a90f84c9f3,Testcase Class,,,,Mont9165,engine/src/test/java/io/camunda/zeebe/engine/processing/processinstance/ModifyProcessInstanceTest.java,492,518,1,56
198,https://github.com/JVoiceXML/JVoiceXML/commit/6ebdcc2b15b490109dc165d035598d34af7cf062,Non-Refactoring,,,,Mont9165,,,,,
206,https://github.com/blackducksoftware/synopsys-detect/commit/238654e810ea9cf34d8bec2cac683d9cc5d3ebad,Lambdarize Method,,,,Mont9165,detectable/src/test/java/com/synopsys/integration/detectable/detectables/cpan/functional/CpanCliDetectableTest.java,71,85,69,70
214,https://github.com/Consensys/tessera/commit/e0ac46657ccb49d705bdbe3ab430e7138ce2e1f6,Non-Refactoring,,,,Mont9165,,,,,
212,https://github.com/GoSimpleLLC/nbvcxz/commit/b2cbc3abeb148fe6c07b96607cc143b8928c4808,Parameterized Test,,,,Mont9165,src/test/java/me/gosimple/nbvcxz/NbvcxzTest.java,39,77,38,52
212,https://github.com/GoSimpleLLC/nbvcxz/commit/b2cbc3abeb148fe6c07b96607cc143b8928c4808,Parameterized Test,,,,Mont9165,src/test/java/me/gosimple/nbvcxz/NbvcxzTest.java,93,188,68,102
226,https://github.com/hapifhir/hapi-hl7v2/commit/3442d0d221c85bad79f13a0b7eb98c5459ef06a3,Any Refactoring,,,,Mont9165,,,,,
226,https://github.com/hapifhir/hapi-hl7v2/commit/3442d0d221c85bad79f13a0b7eb98c5459ef06a3,Non-Refactoring,,,,Mont9165,,,,,
210,https://github.com/apache/jspwiki/commit/f6eb05840a043ae2560feee588cdd3214a24752d,Non-Refactoring,,,,Mont9165,,,,,
224,https://github.com/nuxeo/nuxeo/commit/e9529902e6cf59b2cffa4ef115caa7195a8f3d0d,Non-Refactoring,,,,Mont9165,,,,,
225,https://github.com/pietrobraione/jbse/commit/fa33387a8590275b0aaa620e91f2ed6c64000967,Non-Refactoring,,,,Mont9165,,,,,
231,https://github.com/neo4j/neo4j/commit/2eeed766650136c983f98947acc8edbf7588a721,Non-Refactoring,,,,Mont9165,,,,,
218,https://github.com/exadel-inc/etoolbox-authoring-kit/commit/932c817f63f454635d991251b83c62d1d7adf681,Creation Method,,,,Mont9165,,,,,
N/A,https://github.com/camunda/camunda/commit/2dbeb4a369904bec48f0ba37ce78e9236d264810,Non-Refactoring,,,,Mont9165,,,,,
