repository_name,repository_url,commit_id,parent_commit_id,commit_url
apache/Hadoop,https://github.com/apache/Hadoop,4128c9522dcdc16bb3527f74a48ed1242458a165,083a05bc1420d6d6aa30d98ab48c2ed8ead5b810,https://github.com/apache/Hadoop/commit/4128c9522dcdc16bb3527f74a48ed1242458a165
neo4j/neo4j,https://github.com/neo4j/neo4j,fb18ae2465f3d6aa86ff4aee6a844b46124ed570,061656f5c3e1c3445f51c0387f2876d6c19e437d,https://github.com/neo4j/neo4j/commit/fb18ae2465f3d6aa86ff4aee6a844b46124ed570
jetty/jetty.project,https://github.com/jetty/jetty.project,95830517094ca273f4e1025439e134d89587fda4,eb04a44ca60b633bea6882cb6f4620e3975594e5,https://github.com/jetty/jetty.project/commit/95830517094ca273f4e1025439e134d89587fda4
apache/camel,https://github.com/apache/camel,740109b7ca7f8af29729c2d58488d34af72e1977,06cde2765effa3482cc315b29ab58dc9891ce2f4,https://github.com/apache/camel/commit/740109b7ca7f8af29729c2d58488d34af72e1977
cloudfoundry/uaa,https://github.com/cloudfoundry/uaa,9876586923c32b3ba8c62a0de70d2ab0c741e7e0,35791d91a10bb2cdf43168019dca7811c6a9879f,https://github.com/cloudfoundry/uaa/commit/9876586923c32b3ba8c62a0de70d2ab0c741e7e0
apache/Flink,https://github.com/apache/Flink,6035b3dd181b5143f9c95b223d2e81cdfe285bca,dbde46117f4d4020910aca6434079e7c3c0f5ec2,https://github.com/apache/Flink/commit/6035b3dd181b5143f9c95b223d2e81cdfe285bca
cloudfoundry/uaa,https://github.com/cloudfoundry/uaa,64814844eed78e81e9e770663d5656d3fb9d4cf3,90e040ead9acffdaf63ba982a05782f27940a896,https://github.com/cloudfoundry/uaa/commit/64814844eed78e81e9e770663d5656d3fb9d4cf3
cloudfoundry/uaa,https://github.com/cloudfoundry/uaa,7720e17113b2c4a7497ff62c3f5d58afdd6775c2,fbd7e469f9c4c6012a611b0ea0a46b7d972d9e04,https://github.com/cloudfoundry/uaa/commit/7720e17113b2c4a7497ff62c3f5d58afdd6775c2
apache/commons-imaging,https://github.com/apache/commons-imaging,0c2a73f8f9e9183d141d00479275e352ccbe8939,e1ce2b15bec467945295ff7113d1b630e635a418,https://github.com/apache/commons-imaging/commit/0c2a73f8f9e9183d141d00479275e352ccbe8939
cloudfoundry/uaa,https://github.com/cloudfoundry/uaa,f8e8cc67770f6c5f8753dde1c9ec13aa576257c3,aa195b51777c8eb595bd74241d6dc54908e7949c,https://github.com/cloudfoundry/uaa/commit/f8e8cc67770f6c5f8753dde1c9ec13aa576257c3
apache/Cxf,https://github.com/apache/Cxf,25b8c0e575f1f62a2746d2574fdea5772858fc60,32f21e540d83e447193181d4a0e7ccd91a0474d0,https://github.com/apache/Cxf/commit/25b8c0e575f1f62a2746d2574fdea5772858fc60
google/data-transfer-project,https://github.com/google/data-transfer-project,30c0180b900834335a8fe24fb051b2ec1e9ca2d2,3e33a07f6fd7f4bba00b72ccf883c0c270374e47,https://github.com/google/data-transfer-project/commit/30c0180b900834335a8fe24fb051b2ec1e9ca2d2
apache/shenyu,https://github.com/apache/shenyu,ef03dbc268e42b0c9ded47decaffbf4886f913d1,b573b8c000ecd96d4c9cdeebf037bfe2757355f4,https://github.com/apache/shenyu/commit/ef03dbc268e42b0c9ded47decaffbf4886f913d1
bisq-network/bisq,https://github.com/bisq-network/bisq,1e25be5bdc40073921de795191b8f7327f494e5e,b8ae566b69578405cc87b8c08c362c98abb3ac99,https://github.com/bisq-network/bisq/commit/1e25be5bdc40073921de795191b8f7327f494e5e
apache/shenyu,https://github.com/apache/shenyu,25aa30c1b095176dcc5d4febeb5d2e46e997f4a2,3fb38b32a1c5c042aa04b4bec9aed4b1e8082f5c,https://github.com/apache/shenyu/commit/25aa30c1b095176dcc5d4febeb5d2e46e997f4a2
FasterXML/jackson-dataformat-xml,https://github.com/FasterXML/jackson-dataformat-xml,5d8312bd1ffd88d22ddbd098d3b9f68990091794,ae4e96ab085ba668d07a3c2225f423db15153601,https://github.com/FasterXML/jackson-dataformat-xml/commit/5d8312bd1ffd88d22ddbd098d3b9f68990091794
cloudfoundry/uaa,https://github.com/cloudfoundry/uaa,f5a47c16b35788fef63c02b131ae6a1dff47ab90,0bcfa78a2c06ac65368aec55969a9033286b07e5,https://github.com/cloudfoundry/uaa/commit/f5a47c16b35788fef63c02b131ae6a1dff47ab90
apache/shenyu,https://github.com/apache/shenyu,ee40529d6d4d3765f5d2f34432a0b28a6a5aaa75,4585f9267051748e4a7fcefe75a8f24f6f5051f3,https://github.com/apache/shenyu/commit/ee40529d6d4d3765f5d2f34432a0b28a6a5aaa75
neo4j/neo4j,https://github.com/neo4j/neo4j,2d391918b0bac3e37b979ac0e2dda026f2328615,f18d4ef8d7698f6940c72c8c64a923fd9faac418,https://github.com/neo4j/neo4j/commit/2d391918b0bac3e37b979ac0e2dda026f2328615
cloudfoundry/uaa,https://github.com/cloudfoundry/uaa,fd2c9101b53e53609c6c474a4e9905223ef6cda5,0f7094b1f8bd868344daba631c70fa6701e1c2ed,https://github.com/cloudfoundry/uaa/commit/fd2c9101b53e53609c6c474a4e9905223ef6cda5
cloudfoundry/uaa,https://github.com/cloudfoundry/uaa,02129f8441629c50a3284636008d898184637ba0,64814844eed78e81e9e770663d5656d3fb9d4cf3,https://github.com/cloudfoundry/uaa/commit/02129f8441629c50a3284636008d898184637ba0
apache/commons-compress,https://github.com/apache/commons-compress,ddc083b442fc66bcb085cd0e6747e7c056fa0c72,eea47fac1a8adfac8de1f537dbe7c65f9e82e1ad,https://github.com/apache/commons-compress/commit/ddc083b442fc66bcb085cd0e6747e7c056fa0c72
perwendel/spark,https://github.com/perwendel/spark,2ead46571391132a7f48d0dad7032f9937e566e8,9572098489a29960295b28cb973ef5bce2803a79,https://github.com/perwendel/spark/commit/2ead46571391132a7f48d0dad7032f9937e566e8
cloudfoundry/uaa,https://github.com/cloudfoundry/uaa,74721fbfa1d9713b82e871a3bd019c995fc22ed1,8570199d0427cd4b63f6becab78d2f868aa76df5,https://github.com/cloudfoundry/uaa/commit/74721fbfa1d9713b82e871a3bd019c995fc22ed1
cloudfoundry/uaa,https://github.com/cloudfoundry/uaa,1fd0e66705bf61b0b85240ee78ce0577820defd7,59b4aae8a6f9cf8ce8e2cd9da0214e98c4d98dda,https://github.com/cloudfoundry/uaa/commit/1fd0e66705bf61b0b85240ee78ce0577820defd7
mockito/mockito,https://github.com/mockito/mockito,0bbcc7f9a0905c30340f876693d8baadc7658064,a2b745d51ac1c623dd7d7b7faf1083306014d28a,https://github.com/mockito/mockito/commit/0bbcc7f9a0905c30340f876693d8baadc7658064
INRIA/spoon,https://github.com/INRIA/spoon,c20173c3e1b790132f52f32090ad77ea22675559,0f5342e862a38c1c9875b4e23bd17cfc59663483,https://github.com/INRIA/spoon/commit/c20173c3e1b790132f52f32090ad77ea22675559
netty/netty,https://github.com/netty/netty,98a2bb62f5f4bb0b6bfc08e01ced827e06e2ea2d,c7b407e28871a01db7541df4eddd196349ce32ab,https://github.com/netty/netty/commit/98a2bb62f5f4bb0b6bfc08e01ced827e06e2ea2d
JanusGraph/janusgraph,https://github.com/JanusGraph/janusgraph,114886e46c4e5c8a1151cd202103db0673a2c228,43df5df06cf3697da19de6fc286f28905647f3f8,https://github.com/JanusGraph/janusgraph/commit/114886e46c4e5c8a1151cd202103db0673a2c228
apache/kafka,https://github.com/apache/kafka,885abbfcd40aab57acec278d976956f07be15090,f38bc0c33992ed4879ec37e0d425beadc088bbff,https://github.com/apache/kafka/commit/885abbfcd40aab57acec278d976956f07be15090
apache/Groovy,https://github.com/apache/Groovy,003d8de296e6893206b1512fac4ea87b301f0625,75696ddeeb2a731b228f4cf25f4dbc67137e3a83,https://github.com/apache/Groovy/commit/003d8de296e6893206b1512fac4ea87b301f0625
apache/camel,https://github.com/apache/camel,706b527d4d7a0ae3374da0303befdab926c6592d,28c00347e461d9daf3afd165c889aef9763a88ec,https://github.com/apache/camel/commit/706b527d4d7a0ae3374da0303befdab926c6592d
